Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hardcode,Extract layout name,Position,Level,Mapping Logic,COMMENTS,PIEDMONT
2000B,2000B.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,"11 : Other Non-Federal Programs
12 : Preferred Provider Organization (PPO)
13 : Point of Service (POS)
14 : Exclusive Provider Organization (EPO)
15 : Indemnity Insurance
16 : Health Maintenance Organization (HMO) Medicare
Risk
17 : Dental Maintenance Organization
AM : Automobile Medical
BL : Blue Cross/Blue Shield
CH : Champus
CI : Commercial Insurance Co.
DS : Disability
FI : Federal Employees Program
HM : Health Maintenance Organization
LM : Liability Medical
MA : Medicare Part A
MB : Medicare Part B
MC : Medicaid
OF : Other Federal Program
TV : Title V
VA : Veterans Affairs Plan
WC : Workers’ Compensation Health Claim
ZZ : Mutually Defined",,SUB_CLAIM_FILING_CODE,824,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/baseBenefitPlan/product/planType
LOOP 2010BA - SUBSCRIBER NAME,,,,,,,,,,,,
2010BA,NM1,Subscriber Name (Required),,R,,,,,,,,
2010BA,2010BA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,IL Insured or Subscriber,"Hardcode as ""IL""",,,,,,
2010BA,2010BA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 Person
2 Non-Person Entity","Hardcode as ""1""",,,,,,
2010BA,2010BA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,SUB_LAST_NAME,502,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/subscriberInformation/individual/lastName
2010BA,2010BA.NM104,Name First,Individual first name,S,,,SUB_FIRST_NAME,503,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/subscriberInformation/individual/firstName
2010BA,2010BA.NM105,Name Middle,Individual middle name or initial,S,,,SUB_MIDDLE_NAME,504,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/subscriberInformation/individual/middleName
2010BA,2010BA.NM107,Name Suffix,Suffix to individual name,S,,,SUB_NAME_SUFFIX,505,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/subscriberInformation/individual/nameSuffix
2010BA,2010BA.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,"II : Standard Unique Health Identifier for each Individual
in the United States
MI : Member Identification Number","Hardcode as ""MI""",,,,,,
2010BA,2010BA.NM109,Identification Code,Code identifying a party or other code,R,,,SUB_ID,3,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/hccId
2010BA,N3,Subscriber Address,,S,,,,,,,,
2010BA,2010BA.N301,Address Information,Address information,R,,,SUB_ADDRESS_01,506,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/address
2010BA,2010BA.N302,Address Information,Address information,S,,,SUB_ADDRESS_02,507,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/address2
2010BA,N4,Subscriber City/State/ZIP Code,,R,,,,,,,,
2010BA,2010BA.N401,City Name,Free-form text for city name,R,,,SUB_CITY,508,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/city
2010BA,2010BA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,SUB_STATE,509,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/stateCode
.,2010BA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,(SUB_ZIP) + ( SUB_ZIP_PLUS_FOUR),510 + 511,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/zipExtension
2010BA,2010BA.N404,Country Code,Code identifying the country,S,,,,,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/countryCode
2010BA,2010BA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,
2010BA,DMG,Subscriber Demographic Information,,S,,,,,,,,
2010BA,2010BA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2010BA,2010BA.DMG02,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUB_DOB,514,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/birthDate
2010BA,2010BA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F : Female
M : Male
U : Unknown",,SUB_GENDER_ID,515,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/genderCode
2010BA,REF,Subscriber Secondary Identification,,S,,,,,,,,
2010BA,2010BA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,SY : Social Security Number,,,,,,,
2010BA,2010BA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2010BA,REF,Property and Casualty Claim Number,,S,,,,,,,,
2010BA,2010BA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,Y4 : Agency Claim Number,,,,,,,
2010BA,2010BA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
LOOP 2010BB - PAYER NAME,,,,,,,,,,,,
2010BB,NM1,Payer Name (Required),,R,,,,,,,,
2010BB,2010BB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,PR : Payer,"Hardcode as ""PR""",,,,,,
2010BB,2010BB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,"Hardcode as ""2""",,,,,,
2010BB,2010BB.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,Product,,,,,Configurable value for Implementation team,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicName
2010BB,2010BB.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,"PI : Payor Identification
XV : Centers for Medicare and Medicaid Services PlanID","Hardcode as ""PI""",,,,,,
2010BB,2010BB.NM109,Identification Code,Code identifying a party or other code,R,,"Default value ""1234567""",,,,,"Configurable value for Implementation team
updated default values",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/taxId
2010BB,N3,Payer Address,,S,,,,,,,,
2010BB,2010BB.N301,Address Information,Address Information,R,,"Hardcode as ""XXXX""",,,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/address
2010BB,2010BB.N302,Address Information,Address Information,S,,,,,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/address2
2010BB,N4,Payer City/State/ZIP Code,,R,,,,,,,,
2010BB,2010BB.N401,City Name,Free-form text for city name,R,,"Default value as ""Product""",,,,,Configurable value for Implementation team. Random values updated,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/city
2010BB,2010BB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,"Default  value as ""CO""",,,,,Configurable value for Implementation team. Random values updated,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/stateCode
2010BB,2010BB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,"Default  value as ""80014""",,,,,Configurable value for Implementation team. Random values updated,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/zipExtension
2010BB,2010BB.N404,Country Code,Code identifying the country,S,,Leave it blank,,,,,"Configurable value for Implementation team. Random values updated
20/6/2024: CO cannot be hardcoded as it is not a valid value. So leaving it Blank",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/countryCode
2010BB,2010BB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,
2010BB,REF,Payer Secondary Identification,,S,,,,,,,,
2010BB,2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,S,"2U : Payer Identification Number
EI : Employer’s Identification Number
FY : Claim Office Number
NF : National Association of Insurance Commissioners
(NAIC) Code",,,,,,,
2010BB,2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2010BB,REF,Billing Provider Secondary Identification,,S,,,,,,,,
2010BB,2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"G2 Provider Commercial Number
LU Location Number",,,,,,,
2010BB,2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
LOOP 2000C - PATIENT HIERARCHICAL LEVEL,,,,,,,,,,,,
2000C,HL,Patient Hierarchical Level,,S,,,,,,,,
