Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,USAGE,Enumeration Values,CDS Field Name / Hardcode,Extract layout name,Position,Level,Mapping Logic,Cuztomization,Comments,PIEDMONT,
2400,2400.SV101.03,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,SUB_MOD_01,SUB_MOD_01,159,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,
2400,2400.SV101.04,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,SUB_MOD_02,SUB_MOD_02,160,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,
2400,2400.SV101.05,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,SUB_MOD_03,SUB_MOD_03,161,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,
2400,2400.SV101.06,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,SUB_MOD_04,SUB_MOD_04,162,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,
2400,2400.SV101.07,Description,A free-form description to clarify the related data elements and their content,S,,SUB_HCPCS_DESC,SUB_HCPCS_DESC,516,Line,,,,,
2400,2400.SV102,Monetary Amount,Monetary amount,R,,SUB_AMOUNT,SUB_AMOUNT,169,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/requestedAmount,
2400,2400.SV103,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,"MJ Minutes
UN Unit",UNITS_TYPE,UNITS_TYPE,167,Line,,,,,
2400,2400.SV104,Quantity,Numeric value of quantity,R,,SUB_UNITS,SUB_UNITS,168,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/minuteCount OR ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/units,
2400,2400.SV105,Facility Code Value,"Code identifying where services were, or may be, performed; the first and second positions of the Uniform Bill Type Code for Institutional Services or the Place of Service Codes for Professional or Dental Services.",S,,POS_ID,PLACE_OF_SERVICE,144,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/placeOfService,
2400,2400.SV107.01,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,R,,DIAG_PTR1,DIAGNOSIS_POINTER_01,146,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/diagnosisList/string,
2400,2400.SV107.02,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,DIAG_PTR2,DIAGNOSIS_POINTER_02,147,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/diagnosisList/string,
2400,2400.SV107.03,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,DIAG_PTR3,DIAGNOSIS_POINTER_03,148,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/diagnosisList/string,
2400,2400.SV107.04,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,DIAG_PTR4,DIAGNOSIS_POINTER_04,149,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/diagnosisList/string,
2400,2400.SV109,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,Y Yes,,,,,,,,,
2400,2400.SV111,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,Y Yes,,,,,,,,,
2400,2400.SV112,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,Y Yes,,,,,,,,,
2400,2400.SV115,Copay Status Code,Code indicating whether or not co-payment requirements were met on a line by line basis,S,0 Copay exempt,,,,,,,,,
2400,SV5,Durable Medical Equipment Service,,,,,,,,,,,,
2400,2400.SV501.01,Product/Service ID Qualifier,,,"HC Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes",,,,,,,,,
2400,2400.SV501.02,Product/Service ID,,,,,,,,,,,,
2400,2400.SV502,Unit or Basis for Measurement Code,,,DA Days,,,,,,,,,
2400,2400.SV503,Quantity,,,,,,,,,,,,
2400,2400.SV504,Monetary Amount,,,,,,,,,,,,
2400,2400.SV505,Monetary Amount,,,,,,,,,,,,
2400,2400.SV506,Frequency Code,,,"1 Weekly
4 Monthly
6 Daily",,,,,,,,,
2400,PWK,Line Supplemental Information,,,,,,,,,,,,
2400,2400.PWK01,Report Type Code,,,"03 Report Justifying Treatment Beyond Utilization
Guidelines
04 Drugs Administered
05 Treatment Diagnosis
06 Initial Assessment
07 Functional Goals
08 Plan of Treatment
09 Progress Report
10 Continued Treatment
11 Chemical Analysis
13 Certified Test Report
15 Justification for Admission
21 Recovery Plan
A3 Allergies/Sensitivities Document
A4 Autopsy Report
AM Ambulance Certification
AS Admission Summary
B2 Prescription
B3 Physician Order
B4 Referral Form
BR Benchmark Testing Results
BS Baseline
BT Blanket Test Results
CB Chiropractic Justification
CK Consent Form(s)
CT Certification
D2 Drug Profile Document
DA Dental Models
DB Durable Medical Equipment Prescription
DG Diagnostic Report
DJ Discharge Monitoring Report
DS Discharge Summary
EB Explanation of Benefits (Coordination of Benefits or
Medicare Secondary Payor)
HC Health Certificate
HR Health Clinic Records
I5 Immunization Record
IR State School Immunization Records
LA Laboratory Results
M1 Medical Record Attachment
MT Models
NN Nursing Notes
OB Operative Note
OC Oxygen Content Averaging Report
OD Orders and Treatments Document
OE Objective Physical Examination (including vital
signs) Document
OX Oxygen Therapy Certification
OZ Support Data for Claim
P4 Pathology Report
P5 Patient Medical History Document
PE Parenteral or Enteral Certification
PN Physical Therapy Notes
PO Prosthetics or Orthotic Certification
PQ Paramedical Results
PY Physician’s Report
PZ Physical Therapy Certification
RB Radiology Films
RR Radiology Reports
RT Report of Tests and Analysis Report
RX Renewable Oxygen Content Averaging Report
SG Symptoms Document
V5 Death Notification
XP Photographs",,,,,,,,,
2400,2400.PWK02,Report Transmission Code,,,"AA Available on Request at Provider Site
BM By Mail
EL Electronically Only
EM E-Mail
FT File Transfer
FX By Fax",,,,,,,,,
2400,2400.PWK05,Identification Code Qualifier,,,AC Attachment Control Number,,,,,,,,,
2400,2400.PWK06,Identification Code,,,,,,,,,,,,
2400,PWK,Durable Medical Equipment Certificate of Medical Necessity Indicator,,,,,,,,,,,,
2400,2400.PWK01,Report Type Code,,,CT Certification,,,,,,,,,
2400,2400.PWK02,Report Transmission Code,,,"AB Previously Submitted to Payer
AD Certification Included in this Claim
AF Narrative Segment Included in this Claim
AG No Documentation is Required
NS Not Specified",,,,,,,,,
2400,CR1,Ambulance Transport Information,,,,,,,,,,,,
2400,2400.CR101,Unit or Basis for Measurement Code,,,LB Pound,,,,,,,,,
2400,2400.CR102,Weight,,,,,,,,,,,,
2400,2400.CR104,Ambulance Transport Reason Code,,,"A Patient was transported to nearest facility for care of
symptoms, complaints, or both
B Patient was transported for the benefit of a preferred
physician
C Patient was transported for the nearness of family
members
D Patient was transported for the care of a specialist
or for availability of specialized equipment
E Patient Transferred to Rehabilitation Facility",,,,,,,,,
2400,2400.CR105,Unit or Basis for Measurement Code,,,DH Miles,,,,,,,,,
2400,2400.CR106,Quantity,,,,,,,,,,,,
2400,2400.CR109,Description,,,,,,,,,,,,
2400,2400.CR110,Description,,,,,,,,,,,,
2400,CR3,Durable Medical Equipment Certification,,,,,,,,,,,,
2400,2400.CR301,Certification Type Code,,,"I Initial
R Renewal
S Revised",,,,,,,,,
2400,2400.CR302,Unit or Basis for Measurement Code,,,MO Months,,,,,,,,,
2400,2400.CR303,Quantity,,,,,,,,,,,,
2400,CRC,Ambulance Certification,,,,,,,,,,,,
2400,2400.CRC01,Code Category,,,07 Ambulance Certification,,,,,,,,,
2400,2400.CRC02,Yes/No Condition or Response Code,,,"N No
Y Yes",,,,,,,,,
2400,2400.CRC03,Condition Indicator,,,"01 Patient was admitted to a hospital
04 Patient was moved by stretcher
05 Patient was unconscious or in shock
06 Patient was transported in an emergency situation
07 Patient had to be physically restrained
08 Patient had visible hemorrhaging
09 Ambulance service was medically necessary
12 Patient is confined to a bed or chair",,,,,,,,,
2400,2400.CRC04,Condition Indicator,,,,,,,,,,,,
2400,2400.CRC05,Condition Indicator,,,,,,,,,,,,
2400,2400.CRC06,Condition Indicator,,,,,,,,,,,,
2400,2400.CRC07,Condition Indicator,,,,,,,,,,,,
2400,CRC,Hospice Employee Indicator,,,,,,,,,,,,
2400,2400.CRC01,Code Category,,,70 Hospice,,,,,,,,,
2400,2400.CRC02,Yes/No Condition or Response Code,,,"N No
Y Yes",,,,,,,,,
2400,2400.CRC03,Condition Indicator,,,65 Open,,,,,,,,,
2400,CRC,Condition Indicator/Durable Medical Equipment,,,,,,,,,,,,
2400,2400.CRC01,Code Category,,,09 Durable Medical Equipment Certification,,,,,,,,,
2400,2400.CRC02,Yes/No Condition or Response Code,,,"N No
Y Yes",,,,,,,,,
2400,2400.CRC03,Condition Indicator,,,"38 Certification signed by the physician is on file at the
supplier’s office
ZV Replacement Item",,,,,,,,,
2400,2400.CRC04,Condition Indicator,,,,,,,,,,,,
2400,DTP,Date - Service Date (Required),,R,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,472 Service,"Hardcode as ""472""",,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,"D8 Date Expressed in Format CCYYMMDD
RD8 Range of Dates Expressed in Format CCYYMMDDCCYYMMDD","Hardcode ""RD8""  if LINE_END_DOS is present. Else D8.",,,,,,,,
2400,2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,DOS_FROM - DOS_TO,"LINE_BEGIN_DOS -
LINE_END_DOS",142 + 143,Line,,,,"ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/serviceStartDate ""-"" ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/serviceEndDate",
2400,DTP,Date - Prescription Date,,,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,,,471 Prescription,,,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2400,2400.DTP03,Date Time Period,,,,,,,,,,,,
2400,DTP,DATE - Certification Revision/Recertification Date,,,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,,,607 Certification Revision,,,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2400,2400.DTP03,Date Time Period,,,,,,,,,,,,
2400,DTP,Date - Begin Therapy Date,,,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,,,463 Begin Therapy,,,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2400,2400.DTP03,Date Time Period,,,,,,,,,,,,
2400,DTP,Date - Last Certification Date,,,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,,,461 Last Certification,,,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2400,2400.DTP03,Date Time Period,,,,,,,,,,,,
2400,DTP,Date - Last Seen Date,,,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,,,304 Latest Visit or Consultation,,,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2400,2400.DTP03,Date Time Period,,,,,,,,,,,,
2400,DTP,Date - Test Date,,,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,,,"738 Most Recent Hemoglobin or Hematocrit or Both
739 Most Recent Serum Creatine",,,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2400,2400.DTP03,Date Time Period,,,,,,,,,,,,
2400,DTP,Date - Shipped Date,,,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,,,011 Shipped,,,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2400,2400.DTP03,Date Time Period,,,,,,,,,,,,
2400,DTP,Date - Last X-ray Date,,,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,,,455 Last X-Ray,,,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2400,2400.DTP03,Date Time Period,,,,,,,,,,,,
2400,DTP,Date - Initial Treatment Date,,,,,,,,,,,,
2400,2400.DTP01,Date/Time Qualifier,,,454 Initial Treatment,,,,,,,,,
2400,2400.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2400,2400.DTP03,Date Time Period,,,,,,,,,,,,
2400,QTY,Ambulance Patient Count,,,,,,,,,,,,
2400,2400.QTY01,Quantity Qualifier,,,PT Patients,,,,,,,,,
2400,2400.QTY02,Quantity,,,,,,,,,,,,
2400,QTY,Obstetric Anesthesia Additional Units,,,,,,,,,,,,
2400,2400.QTY01,Quantity Qualifier,,,FL Units,,,,,,,,,
2400,2400.QTY02,Quantity,,,,,,,,,,,,
2400,MEA,Test Result,,,,,,,,,,,,
2400,2400.MEA01,Measurement Reference ID Code,,,"OG Original
TR Test Results",,,,,,,,,
2400,2400.MEA02,Measurement Qualifier,,,"HT Height
R1 Hemoglobin
R2 Hematocrit
R3 Epoetin Starting Dosage
R4 Creatinine",,,,,,,,,
2400,2400.MEA03,Measurement Value,,,,,,,,,,,,
2400,CN1,Contract Information,,,,,,,,,,,,
2400,2400.CN101,Contract Type Code,,,"01 Diagnosis Related Group (DRG)
02 Per Diem
03 Variable Per Diem
04 Flat
05 Capitated
06 Percent
09 Other",,,,,,,,,
2400,2400.CN102,Monetary Amount,,,,,,,,,,,,
2400,2400.CN103,"Percent, Decimal Format",,,,,,,,,,,,
2400,2400.CN104,Reference Identification,,,,,,,,,,,,
2400,2400.CN105,Terms Discount Percent,,,,,,,,,,,,
2400,2400.CN106,Version Identifier,,,,,,,,,,,,
2400,REF,Repriced Line Item Reference Number,,,,,,,,,,,,
2400,2400.REF01,Reference Identification Qualifier,,,9B Repriced Line Item Reference Number,,,,,,,,,
2400,2400.REF02,Reference Identification,,,,,,,,,,,,
2400,REF,Adjusted Repriced Line Item Reference Number,,,,,,,,,,,,
2400,2400.REF01,Reference Identification Qualifier,,,9D Adjusted Repriced Line Item Reference Number,,,,,,,,,
2400,2400.REF02,Reference Identification,,,,,,,,,,,,
2400,REF,Prior Authorization,,,,,,,,,,,,
2400,2400.REF01,Reference Identification Qualifier,,,G1 Prior Authorization Number,,,,,,,,,
2400,2400.REF02,Reference Identification,,,,,,,,,,,,
2400,2400.REF04.01,Reference Identification Qualifier,,,2U Payer Identification Number,,,,,,,,,
2400,2400.REF04.02,Reference Identification,,,,,,,,,,,,
2400,REF,Line Item Control Number,,,,,,,,,,,,
2400,2400.REF01,Reference Identification Qualifier,,,6R Provider Control Number,,,,,,,,,
2400,2400.REF02,Reference Identification,,,,,,,,,,,,
2400,REF,Mammography Certification Number,,,,,,,,,,,,
2400,2400.REF01,Reference Identification Qualifier,,,EW Mammography Certification Number,,,,,,,,,
2400,2400.REF02,Reference Identification,,,,,,,,,,,,
2400,REF,Clinical Laboratory Improvement Amendment (CLIA) Number,,,,,,,,,,,,
2400,2400.REF01,Reference Identification Qualifier,,,"X4 Clinical Laboratory Improvement Amendment
Number",,,,,,,,,
2400,2400.REF02,Reference Identification,,,,,,,,,,,,
2400,REF,Referring Clinical Laboratory Improvement Amendment (CLIA) Facility Identification,,,,,,,,,,,,
2400,2400.REF01,Reference Identification Qualifier,,,F4 Facility Certification Number,,,,,,,,,
2400,2400.REF02,Reference Identification,,,,,,,,,,,,
2400,REF,Immunization Batch Number,,,,,,,,,,,,
2400,2400.REF01,Reference Identification Qualifier,,,BT Batch Number,,,,,,,,,
2400,2400.REF02,Reference Identification,,,,,,,,,,,,
2400,REF,Referral Number,,,,,,,,,,,,
2400,2400.REF01,Reference Identification Qualifier,,,9F Referral Number,,,,,,,,,
2400,2400.REF02,Reference Identification,,,,,,,,,,,,
2400,2400.REF04.01,Reference Identification Qualifier,,,2U Payer Identification Number,,,,,,,,,
2400,2400.REF04.02,Reference Identification,,,,,,,,,,,,
2400,AMT,Sales Tax Amount,,,,,,,,,,,,
2400,2400.AMT01,Amount Qualifier Code,,,T Tax,,,,,,,,,
2400,2400.AMT02,Monetary Amount,,,,,,,,,,,,
2400,AMT,Postage Claimed Amount,,,,,,,,,,,,
2400,2400.AMT01,Amount Qualifier Code,,,F4 Postage Claimed,,,,,,,,,
2400,2400.AMT02,Monetary Amount,,,,,,,,,,,,
2400,K3,File Information,,,,,,,,,,,,
2400,2400.K301,Fixed Format Information,,,,,,,,,,,,
2400,NTE,Line Note,,,,,,,,,,,,
2400,2400.NTE01,Note Reference Code,,,"ADD Additional Information
DCP Goals, Rehabilitation Potential, or Discharge Plans",,,,,,,,,
2400,2400.NTE02,Description,,,,,,,,,,,,
2400,NTE,Third Party Organization Notes,,,,,,,,,,,,
2400,2400.NTE01,Note Reference Code,,,TPO Third Party Organization Notes,,,,,,,,,
2400,2400.NTE02,Description,,,,,,,,,,,,
2400,PS1,Purchased Service Information,,,,,,,,,,,,
2400,2400.PS101,Reference Identification,,,,,,,,,,,,
2400,2400.PS102,Monetary Amount,,,,,,,,,,,,
2400,HCP,Line Pricing/Repricing Information,,,,,,,,,,,,
2400,2400.HCP01,Pricing Methodology,,,"00 Zero Pricing (Not Covered Under Contract)
01 Priced as Billed at 100%
02 Priced at the Standard Fee Schedule
03 Priced at a Contractual Percentage
04 Bundled Pricing
05 Peer Review Pricing
06 Per Diem Pricing
07 Flat Rate Pricing
08 Combination Pricing
09 Maternity Pricing
10 Other Pricing
11 Lower of Cost
12 Ratio of Cost
13 Cost Reimbursed
14 Adjustment Pricing",,,,,,,,,
2400,2400.HCP02,Monetary Amount,,,,,,,,,,,,
2400,2400.HCP03,Monetary Amount,,,,,,,,,,,,
2400,2400.HCP04,Reference Identification,,,,,,,,,,,,
2400,2400.HCP05,Rate,,,,,,,,,,,,
2400,2400.HCP06,Reference Identification,,,,,,,,,,,,
2400,2400.HCP07,Monetary Amount,,,,,,,,,,,,
2400,2400.HCP09,Product/Service ID Qualifier,,,"ER Jurisdiction Specific Procedure and Supply Codes
HC Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
IV Home Infusion EDI Coalition (HIEC) Product/Service
Code
WK Advanced Billing Concepts (ABC) Codes",,,,,,,,,
2400,2400.HCP10,Product/Service ID,,,,,,,,,,,,
2400,2400.HCP11,Unit or Basis for Measurement Code,,,"MJ Minutes
UN Unit",,,,,,,,,
2400,2400.HCP12,Quantity,,,,,,,,,,,,
2400,2400.HCP13,Reject Reason Code,,,"T1 Cannot Identify Provider as TPO (Third Party
Organization) Participant
T2 Cannot Identify Payer as TPO (Third Party
Organization) Participant
T3 Cannot Identify Insured as TPO (Third Party
Organization) Participant
T4 Payer Name or Identifier Missing
T5 Certification Information Missing
T6 Claim does not contain enough information for repricing",,,,,,,,,
2400,2400.HCP14,Policy Compliance Code,,,"1 Procedure Followed (Compliance)
2 Not Followed - Call Not Made (Non-Compliance Call
Not Made)
3 Not Medically Necessary (Non-Compliance Non-
Medically Necessary)
4 Not Followed Other (Non-Compliance Other)
5 Emergency Admit to Non-Network Hospital",,,,,,,,,
2400,2400.HCP15,Exception Code,,,"1 Non-Network Professional Provider in Network
Hospital
2 Emergency Care
3 Services or Specialist not in Network
4 Out-of-Service Area
5 State Mandates
6 Other",,,,,,,,,
LOOP 2410 - 2410 DRUG IDENTIFICATION,,,,,,,,,,,,,,
2410,LIN,Drug Identification,,S,,,,,,,,,,
2410,2410.LIN02,Product/Service ID Qualifier,Code identifying the type/source of the descriptive number used in Product/Service ID (234),R,N4 National Drug Code in 5-4-2 Format,"Hardcode as ""N4""",,,,,,,,
2410,2410.LIN03,Product/Service ID,Identifying number for a product or service,R,,SUB_NDC,SUB_NDC,171,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/ndcCodes/NDCCode/ndcCode,
2410,CTP,Drug Quantity (Required),,R,,,,,,,,,,
2410,2410.CTP04,Quantity,Numeric value of quantity,R,,SUB_NDC_UNITS,SUB_NDC_UNITS,172,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/ndcCodes/NDCCode/quantity,
2410,2410.CTP05.01,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,"F2 International Unit
GR Gram
ME Milligram
ML Milliliter
UN Unit",SUB_NDC_UNITS_TYPE,SUB_NDC_UNITS_TYPE,173,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/ndcCodes/NDCCode/measurementType,
2410,REF,Prescription or Compound Drug Association Number,,,,,,,,,,,,
2410,2410.REF01,Reference Identification Qualifier,,,"VY Link Sequence Number
XZ Pharmacy Prescription Number",,,,,,,,,
2410,2410.REF02,Reference Identification,,,,,,,,,,,,
LOOP 2420A - RENDERING PROVIDER NAME,,,,,,,,,,,,,,
2420A,NM1,Rendering Provider Name,,S,,,,,,,,,Export is different from Loop 2310B,
2420A,2420A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individua",R,82 Rendering Provider,"Hardcode as ""82""",,,,,,,,
2420A,2420A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 Person
2 Non-Person Entity","Hardcode as ""1""",,,,,,,,
2420A,2420A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,RENDERING_PRACTITIONER__LAST_NAME,RENDERING_PRACTITIONER__LAST_NAME,85,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/lastName,
2420A,2420A.NM104,Name First,ndividual first name,S,,RENDERING_PRACTITIONER__FIRST_NAME,RENDERING_PRACTITIONER__FIRST_NAME,86,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/firstName,
2420A,2420A.NM105,Name Middle,Individual middle name or initia,S,,RENDERING_PRACTITIONER__MIDDLE_NAME,RENDERING_PRACTITIONER__MIDDLE_NAME,87,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/middleName,
2420A,2420A.NM107,Name Suffix,Suffix to individual name,S,,RENDERING_PRACTITIONER__NAME_SUFFIX,RENDERING_PRACTITIONER__NAME_SUFFIX,88,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/nameSuffix,
2420A,2420A.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier","Hardcode as ""XX""",,,,,,,,
