EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic/ Comments,
2010BA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/ssn,,
REF,Segment - REF Property and Casualty Claim Number (Situational),,S,,,,,
2010BA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,
2010BA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,
PER,Segment - PER Property and Casualty Subscriber Contact Information (Situational),,S,,,,,
2010BA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC : Information Contact,,,,
2010BA.PER02,Name,,S,,,,,
2010BA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,TE :  Telephone,,,,
2010BA.PER04,Communication Number,,R,,,,,
2010BA.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,EX :  Telephone Extension,,,,
2010BA.PER06,Communication Number,,S,,,,,
Loop: 2010BB — PAYER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Payer Name (Required),,R,,,,,
2010BB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PR : Payer,PR,,,
2010BB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,2,,,
2010BB.NM103,Name Last or Organization Name,,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicName,,
2010BB.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,"PI :  Payor Identification
XV : Centers for Medicare and Medicaid Services PlanID",XV,,,
2010BB.NM109,Identification Code,Code identifying a party or other code / Payer Identifier,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/subscriptionInformation/topAccount/id,,
N3,Segment - N3 Payer Address (Situational),,S,,,,,
2010BB.N301,Address Information,Address Information,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/address,,
2010BB.N302,Address Information,Address Information,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/address2,,
N4,"Segment - N4 Payer City, State, ZIP Code (Situational)",,S,,,,,
2010BB.N401,City Name,Free-form text for city name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/city,,
2010BB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/stateCode,,
2010BB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/zipCode
+
/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/zipExtension",,
2010BB.N404,Country Code,Code identifying the country,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/countryCode,,
2010BB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Payer Secondary Identification (Situational),,S,,,,,
2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"2U : Payer Identification Number
EI :  Employer’s Identification Number",2U,,,
2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/subscriptionInformation/topAccount/id,,
REF,Segment - REF Billing Provider Secondary Identification (Situational),,S,,,,,
2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,G2,,,
2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/npi,,
"Loop 2000C - Patient Hierarchical Level (Situational)   Loop Repeat: >1
In case of dependent claims (if  dependant is the patient ), Loop ID-2000C and Loop ID-2010CA are sent.
When subscriber is the patient, Loop ID-2000C and Loop ID-2010CA are not sent.",,,,,,,,
NM1,NM1 Patient Name (Required),,R,,,,,
2000C.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,,System Generated,,,
2000C.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,,2000C.HL01,,,
2000C.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,"23 : Dependent (the information
in this HL applies to the patient when the subscriber
and the patient are not the same person)",23,,,
2000C.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described",R,"0 :  No Subordinate HL Segment in This Hierarchical
Structure",0,,,
PAT,Patient information,,R,,,,,
2000C.PAT01,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,"01 : Spouse
19 : Child
20 : Employee
21 : Unknown
39 : Organ Donor
40:  Cadaver Donor
53:  Life Partner
G8 : Other Relationship",,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/relationshipToSubscriber,,
2000C.PAT05,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",S,D8 : Date Expressed in Format CCYYMMDD,,,,
2000C.PAT06,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times / Patient Death Date",S,,,,,
2000C.PAT07,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",S,01 : Actual Pounds,,,,
2000C.PAT08,Weight,Numeric value of weight,S,,,,,
2000C.PAT09,Yes/No Condition or Response Code,Code indicating  whether the patient is pregnant or not pregnant.,S,Y :Yes,,,,
Loop 2010CA - Patient Name (Situational),,,,,,,,
NM1,Patient Name (Required),,R,,,,,
2010CA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,QC : Patient,"Hardcode as ""QC""",,,
2010CA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1: Person,"Hardcode as ""1""",,,
2010CA.NM103,Name Last or Organization Name,Patient Last Name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/lastName,,
2010CA.NM104,Name First,Patient First Name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/firstName,,
2010CA.NM105,Name Middle,Patient Middle Name or Initial,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/middleName,,
2010CA.NM107,Name Suffix,Patient Name Suffix,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/nameSuffix,,
N3,Segment - N3 Patient Address (Situational),,S,,,,,
2010CA.N301,Address Information,Patient Address Line,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/address,,
2010CA.N302,Address Information,Patient Address Line,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/address2,,
N4,"Segment - N4 Patient City, State, ZIP Code (Situational)",,S,,,,,
2010CA.N401,City Name,Free-form text for city name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/city,,
2010CA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/stateCode,,
2010CA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/zipCode,,
,,,,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/zipExtension,,
2010CA.N404,Country Code,Code identifying the country,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/countryCode,,
2010CA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
DMG,Segment - DMG Patient Demographic Information (Situational),,S,,,,,
2010CA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,
2010CA.DMG02,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times/Patient Birth Date",R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/birthDate,,
2010CA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F: Female
M :Male
U : Unknown",,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/genderCode,,
REF,Segment - Property and Casuality Claim Number (Situational),,S,,,,,
2010CA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,
2010CA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,
PER,Segment -Property and Casuality Patient Contact Information (Situational),,S,,,,,
2010CA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC :Information Contact,,,,
2010CA.PER02,Name,Free-form name,S,,,,,
2010CA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,TE :  Telephone,,,,
2010CA.PER04,Communication Number,"Complete communications number including country or area code when
applicable",R,,,,,
2010CA.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,EX : Telephone Extension,,,,
2010CA.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,
Loop: 2300 — CLAIM INFORMATION Loop Repeat: 100,,,,,,,,
CLM,Segment - CLM Claim information (Situational),,S,,,,,
2300.CLM01,Claim Submitter's Identifier,Identifier used to track a claim from creation by the health care provider through payment,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hccId/,,
2300.CLM02,Monetary Amount,Monetary Amount,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/requestedFeeAmount,,
2300.CLM05.01,Facility Code Value,"Code identifying where services were, or may be, performed /Place of Service Code",R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/placeOfService,Two digit code,
2300.CLM05.02,Facility Code Qualifier,Code identifying the type of facility referenced,R,B :Place of Service Codes for Professional Services,,B,,
2300.CLM05.03,Claim Frequency Type Code,Code specifying the frequency of the claim,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimFrequencyCode,"Claim Frequency Code from IG

Allowed Values:
1 – Original
7 – Adjusted
8 – Void/Delete",
2300.CLM06,Yes/No Condition or Response Code,Provider or Supplier Signature Indicator,R,"Y : provider signature is on file
N : provider signature is not on file",,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/providerSignaturePresent,If value is present then 'Y' else 'N',
2300.CLM07,Provider Accept Assignment Code,Code indicating whether the provider accepts assignment,R,"A : Assigned
B : Assignment Accepted on Clinical Lab Services Only
C :  Not Assigned",,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/assignmentAcceptance,"If value is present is  'Yes' then A
If value is present is  'C' then C
Else C",
2300.CLM08,Yes/No Condition or Response Code,Benefits Assignment Certification Indicator,R,"Y : Yes
N : No
W :  Not Applicable",,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/benefitAssignment,If value is present then 'Y' else 'N',
2300.CLM09,Release of Information Code,"Code indicating whether the provider has on file a signed statement by the patient
authorizing the release of medical data to other organizations",R,"I : Informed Consent  to Release Medical Information for Conditions or Diagnoses
Y :Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/informationRelease/,If value is 'Y' then 'Y' else 'I',
