EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Encounter Mapping,HRP Element Description,Transformation Logic,Comments
2000B.SBR09,Claim Filing Indicator Code,,S,"11 : Other Non-Federal Programs
12 : Preferred Provider Organization (PPO)
13 : Point of Service (POS)
14 : Exclusive Provider Organization (EPO)
15 : Indemnity Insurance
16 : Health Maintenance Organization (HMO) Medicare
Risk
17 : Dental Maintenance Organization
AM :  Automobile Medical
BL :  Blue Cross/Blue Shield
CH :  Champus
CI :  Commercial Insurance Co.
DS :  Disability
FI :  Federal Employees Program
HM :  Health Maintenance Organization
LM :  Liability Medical
MA :  Medicare Part A
MB :  Medicare Part B
MC :  Medicaid
OF :  Other Federal Program
1484 Use code OF when submitting Medicare Part D
claims.
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined
71 Use Code ZZ when Type of Insurance is not known.",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/claimFilingCode,"Claim filing idicator code, passthrough
from an external system.",,
PAT,Segment - PAT Patient Information (Situational),,S,,,,,,
2000B.PAT05,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",S,D8 : Date Expressed in Format CCYYMMDD,,,,,
2000B.PAT06,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times / Patient Death Date",S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/dateOfDeath,,In the format YYYY-MM-DD,
,,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/dateOfDeath,,In the format YYYY-MM-DD,If 2000C.PAT  does not exist.
2000B.PAT07,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",S,01 : Actual Pounds,,,,,
2000B.PAT08,Weight,Numeric value of weight,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/weight,,,
,,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/weight,,,If 2000C.PAT  does not exist.
2000B.PAT09,Yes/No Condition or Response Code,Code indicating  whether the patient is pregnant or not pregnant.,S,Y :Yes,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/pregnant,,,
,,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecordprofessionalClaim/memberInformation/pregnant,,,If 2000C.PAT  does not exist.
Loop2010BA — SUBSCRIBER NAME (Required) Loop Repeat: 1 (One instance of OtherInsuranceInformation will always carry the details from 2010BA Loop.),,,S,,,,,,
NM1,Segment - NM1 Subscriber Name (Required),,R,,,,,,
2010BA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL :  Insured or Subscriber,,,,,
2010BA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,
2010BA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/lastName,Subscriber Last Name,,
,,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/lastName,Member Last Name,,If 2010CA.NM1  does not exist.
,,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/subscriberName,Subscriber's full name,Subscriber's full name concatenate NM103/5/4/7,
,,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/memberName,Subscriber's full name,,If 2010CA.NM1  does not exist.
2010BA.NM104,Name First,Individual first name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/firstName,,,
2010BA.NM104,,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/firstName,,,If 2010CA.NM1  does not exist.
2010BA.NM105,Name Middle,Individual middle name or initial,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/middleName,,,
2010BA.NM105,,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/middleName,,,If 2010CA.NM1  does not exist.
2010BA.NM107,Name Suffix,Suffix to individual name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/nameSuffix,,,
2010BA.NM107,,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/nameSuffix,,,If 2010CA.NM1  does not exist.
2010BA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"II :  Standard Unique Health Identifier for each Individual in the United States
MI  :  Member Identification Number",,,,,
2010BA.NM109,Identification Code,Code identifying a party or other code / Subscriber Primary Identifier,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/submittedSubscriberId,"Submitted subscriber ID passed
through from external system.",,
2010BA.NM109,,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/subscriberIdentificationNumber,"Identification number of the subscribed individual. This number can be assigned by the Health Care Company, Medicare, or some other organization, and is used as part of the identification system in HealthRules",,
2010BA.NM109,,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/memberIdentificationNumber,Member HCC ID,Only 2000C Loop doesn't exist,
N3,Segment - N3 Subscriber Address (Situational),,S,,,,,,
2010BA.N301,Address Information,Address Information,R,,4600 W 9TH AVE UNIT 216,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/streetAddress,The first line of the street address.,,
2010BA.N301,,,R,,4600 W 9TH AVE UNIT 216,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/streetAddress,The first line of the street address.,,If 2010CA.N3  does not exist.
2010BA.N302,Address Information,Address Information,S,,,,,,
N4,"Segment - N4 Subscriber City, State, ZIP Code (Situational)",,S,,,,,,
2010BA.N401,City Name,Free-form text for city name,R,,DENVER,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/cityName,city,,
2010BA.N401,,,R,,DENVER,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/cityName,city,,If 2010CA.N4  does not exist.
2010BA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/stateCode,State abbreviation,,
2010BA.N402,,,S,,CO,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/stateCode,State abbreviation,,If 2010CA.N4  does not exist.
2010BA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,802042991,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/postalCode,zip code,,
2010BA.N403,,,S,,802042991,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/postalCode,zip code,,If 2010CA.N4  does not exist.
2010BA.N404,Country Code,Code identifying the country,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/countryCode,Country Code,"Map to the value ""US"" if not present",
2010BA.N404,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/countryCode,CountryCode,"Map to the value ""US"" if not present",If 2010CA.N4  does not exist.
2010BA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
DMG,Segment - DMG Subscriber Demographic Information (Situational),,S,,,,,,
2010BA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2010BA.DMG02,Date Time Period,Date Time Period,R,,19471120,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/dateOfBirth,"In the format YYYY-MM-DD

Subscriber's DOB.",In the format YYYY-MM-DD,
2010BA.DMG02,,,R,,19471120,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/dateOfBirth,"In the format YYYY-MM-DD

Member's DOB.",In the format YYYY-MM-DD,"If 2010CA.DMG  does not exist.

In the format YYYY-MM-DD"
2010BA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F : Female
M : Male",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/genderCode,Subscriber's gender code,"M=Male, F=Female, U=Unknown",
2010BA.DMG03,,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/genderCode,Member gender code,"M=Male, F=Female, U=Unknown","If 2010CA.DMG  does not exist.

 M=Male, F=Female, U=Unknown"
REF,Segment - REF Subscriber Secondary Identification (Situational),,S,,,,,,
2010BA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2010BA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
REF,Segment - REF Property and Casualty Claim Number (Situational),,S,,,,,,
2010BA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2010BA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
PER,Segment - PER Property and Casualty Subscriber Contact Information (Situational),,S,,,,,,
2010BA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC : Information Contact,,,,,
2010BA.PER02,Name,,S,,,,,,
2010BA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,TE :  Telephone,,,,,
2010BA.PER04,Communication Number,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/phoneCountryCode,Phone Country Code,First byte  of 2010BA.PER04 Only If 2010BA.PER04  is 11 bytes,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/phoneAreaCode,phoneAreaCode,"2nd, 3rd, 4th bytes  if  2010BA.PER04  is 11 bytes

First 3 bytes If 2010BA.PER04  is 10 bytes",
