EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,CSV Field,Claim/Line Level Record,Mapping Logic
2420E.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420E.NM109,Identification Code,Code identifying a party or other code,S,,,,,
N3,Segment - N3 Ordering Provider Address (Situational),,,,,,,
2420E.N301,Address Information,Address Information,R,,,,,
2420E.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Ordering Provider City, State, ZIP Code (Situational)",,,,,,,
2420E.N401,City Name,Free-form text for city name,R,,,,,
2420E.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2420E.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2420E.N404,Country Code,Code identifying the country,S,,,,,
2420E.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Ordering Provider Secondary Identification (Situational),,,,,,,
2420E.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,
2420E.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420E.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U  :Payer Identification Number,,,,
2420E.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
PER,Segment - PER Ordering Provider Contact Information (Situational),,,,,,,
2420E.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC -  Information Contact,,,,
2420E.PER02,Name,Submitter Contact Name,S,<<Submitter Name>>,,,,
2420E.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
2420E.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,,,,
2420E.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
2420E.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,
2420E.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
2420E.PER08,Communication Number,Complete communications number including country or area code when applicable,S,,,,,
Loop 2420F — REFERRING PROVIDER NAME (Situational) Loop Repeat: 2,,,,,,,,
NM1,Segment - NM1 Referring Provider Name (Situational),,,,,,,
2420F.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,"DN :Referring Provider
P3 :Primary Care Provider",,,,
2420F.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,,,,,
2420F.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2420F.NM104,Name First,Individual first name,S,,,,,
2420F.NM105,Name Middle,Individual middle name or initial,S,,,,,
2420F.NM107,Name Suffix,Suffix to individual name,S,,,,,
2420F.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420F.NM109,Identification Code,Code identifying a party or other code,S,,,,,
REF,Segment - REF Referring Provider Secondary Identification (Situational),,,,,,,
2420F.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,
2420F.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420F.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420F.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2420G — AMBULANCE PICK-UP LOCATION (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Ambulance Pick-up Location (Situational),,,,,,,
2420G.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PW : Pickup Address,,,,
2420G.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,
N3,Segment- N3 Ambulance Pick-up Location Address (Required),,,,,,,
2420G.N301,Address Information,Address Information,R,,,,,
2420G.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Ambulance Pick-up Location City, State, ZIP Code (Required)",,,,,,,
2420G.N401,City Name,Free-form text for city name,R,,,,,
2420G.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2420G.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2420G.N404,Country Code,Code identifying the country,S,,,,,
2420G.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
Loop 2420H  — AMBULANCE DROP-OFF LOCATION (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Ambulance Drop-off Location (Situational),,,,,,,
2420H.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,45 :  Drop-off Location,,,,
2420H.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,
2420H.NM103,Name Last or Organization Name,Individual last name or organizational name,S,,,,,
N3,Segment - N3 Ambulance Drop-off Location Address (Required),,,,,,,
2420H.N301,Address Information,Address Information,R,,,,,
2420H.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Ambulance Drop-off Location City, State, ZIP Code (Required)",,,,,,,
2420H.N401,City Name,Free-form text for city name,R,,,,,
2420H.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2420H.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2420H.N404,Country Code,Code identifying the country,S,,,,,
2420H.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
Loop 2430   — LINE ADJUDICATION INFORMATION(Situational) Loop Repeat: 15,,,,,,,,
SVD,Segment - SVD Line Adjudication Information (Situational),,,,,,,
2430.SVD01,Identification Code,Code identifying a party or other code,R,,611X1,,,
2430.SVD02,Monetary Amount,Monetary Amount,R,,,,,
2430.SVD03.01,Product/Service ID Qualifier,Code identifying the type/source of the descriptive number used in Product/Service ID,R,"ER : Jurisdiction Specific Procedure and Supply Codes
HC : Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
IV :Home Infusion EDI Coalition (HIEC) Product/Service
Code",HC,,,
2430.SVD03.02,Product/Service ID,Identifying number for a product or service,R,,90837,,,
2430.SVD03.03,Procedure Modifier,"This identifies special circumstances related to the performance of the
service, as defined by trading partners",S,,HE,,,
2430.SVD03.04,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,GT,,,
2430.SVD03.05,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,GT,,,
2430.SVD03.06,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,GT,,,
2430.SVD03.07,Description,"A free-form description to clarify the related data elements and their
content",S,,,,,
2430.SVD05,Quantity,Numeric value of quantity/: Paid Service Unit Count,R,,,,,
2430.SVD06,Assigned Number,Number assigned for differentiation within a transaction set/: Bundled or Unbundled Line Number,S,,,,,
CAS,Segment - CAS Line Adjustment (Situational),,,,,,,
2430.CAS01,Claim Adjustment Group Code,Code identifying the general category of payment adjustment,R,"CO : Contractual Obligations
CR : Correction and Reversals
OA : Other adjustments
PI : Payor Initiated Reductions
PR : Patient Responsibility",,,,
2430.CAS02,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS03,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS04,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS05,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS06,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS07,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS08,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS09,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS10,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS11,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS12,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS13,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS14,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS15,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS16,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS17,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS18,Monetary Amount,Monetary Amount,R,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2430.CAS19,Quantity,Numeric value of quantity,S,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
DTP,Segment - DTP Line Check or Remittance Date (Required),,,,,,,
2430.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,573 : Date Claim Paid,,,,
2430.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :Date Expressed in Format CCYYMMDD,,,,
2430.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,20210526,,,
AMT,Segment - AMT Remaining Patient Liability (Situational),,,,,,,
2430.AMT01,Amount Qualifier Code,Code to qualify amounT,R,EAF : Amount Owed,,,,
2430.AMT02,Monetary Amount,Monetary Amount,R,,,,,
Loop 2440  — FORM IDENTIFICATION CODE (Situational) Loop Repeat: >1,,,,,,,,
LQ,Segment - LQ Form Identification Code (Situational),,,,,,,
2440.LQ01,Code List Qualifier Code,Code identifying a specific industry code list,R,"AS : Form Type Code
UT : Centers for Medicare and Medicaid Services (CMS)
Durable Medical Equipment Regional Carrier
(DMERC) Certificate of Medical Necessity (CMN)
Forms",,,,
2440.LQ02,Industry Code,Code indicating a code from a specific industry code list,R,,,,,
FRM,Segment - FRM Supporting Documentation (Required),,,,,,,
2440.FRM01,Assigned Identification,Alphanumeric characters assigned for differentiation within a transaction set,R,,,,,
2440.FRM02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response/ Question Response,S,"N No
W Not Applicable
Y Yes",,,,
2440.FRM03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",S,,,,,
2440.FRM04,Date,"Date expressed as CCYYMMDD where CC represents the first two digits of the
calendar year",S,,,,,
2440.FRM05,"Percent, Decimal Format","Percent given in decimal format (e.g., 0.0 through 100.0 represents 0% through
100%)",S,,,,,
Segment SE - Transaction Set Trailer (Required),,,,,,,,
SE,SE Transaction Set Trailer (Required),,R,,,,,
SE01,Number of Included Segments,"Total number of segments included in a transaction set including ST and SE
segments",R,,Count Of ST - 74,,,
SE02,Transaction Set Control Number,"Identifying control number that must be unique within the transaction set
functional group assigned by the originator for a transaction set.  It must be identical to ST02.",R,,ST02 Value - 319003402,,,
Segment GE - Functional Group Trailer  (Required),,,,,,,,
GE,GE Functional Group Trailer (Required),,R,,,,,
GE01,Number of Transaction Sets Included,"Total number of transaction sets included in the functional group or interchange
(transmission) group",R,,Count Of GS - 1,,,
GE02,Group Control Number,Assigned number originated and maintained by the sender .  It must be identical to GS06.,R,,319003402,,,
Segment IEA -  Interchange Control Trailer(Required),,,,,,,,
IEA,IEA Interchange Control Trailer (Required),,R,,,,,
IEA01,Number of Included Functional Groups,A count of the number of functional groups included in an interchange,R,,Count Of ISA - 1,,,
IEA02,Interchange Control Number,A control number assigned by the interchange sender.  It must be identical to ISA13,R,,ISA13 Value - 319003402,,,
