̥,Element Name,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic,Notes/Comments
2330B.NM101,Entity Identifier Code,R,PR Payer,PR,,,
2330B.NM102,Entity Type Qualifier,R,2 Non-Person Entity,2,,,
2330B.NM103,Name Last or Organization Name,R,,,Copy from 2010BB loop,,
2330B.NM108,Identification Code Qualifier,R,,XV,,,
2330B.NM109,Identification Code,R,,,Copy from 2010BB loop,,
,Segment - N3 Other Payer Address (Situational),,,,,,
2330B.N301,Address Information,R,,,Copy from 2010BB loop,,
2330B.N302,Address Information,S,,,Copy from 2010BB loop,,
,Segment - N4 Other Payer City/State/ZIP Code (Situational),,,,,,
2330B.N401,City Name,R,,,Copy from 2010BB loop,,
2330B.N402,State or Province Code,S,,,Copy from 2010BB loop,,
2330B.N403,Postal Code,S,,,Copy from 2010BB loop,,
2330B.N404,Country Code,S,,US,Copy from 2010BB loop,,
2330B.N407,Country Subdivision Code,S,,,,,
,Segment - DTP Claim Check or Remittance Date (Situational),,,,"This should always be populated make sure its populate in case of Paid, Denied, and adjusted void claims",,
2330B.DTP01,Date/Time Qualifier,R,573 Date Claim Paid,573,,,
2330B.DTP02,Date Time Period Format Qualifier,R,D8 Date Expressed in Format CCYYMMDD,D8,,,
2330B.DTP03,Date Time Period,R,,,getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/paymentDate,Remove '-',
,Segment - REF Other Payer Secondary Identifier (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,,,,,
2330B.REF02,Reference Identification,R,,,,,
,Segment - REF Other Payer Prior Authorization Number (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,G1 Prior Authorization Number,,,,
2330B.REF02,Reference Identification,R,,,,,
,Segment - REF Other Payer Referral Number (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,9F : Referral Number,,,,
2330B.REF02,Reference Identification,R,,,,,
,Segment - REF Other Payer Claim Adjustment Indicator (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,T4 : Signal Code,,,,
2330B.REF02,Reference Identification,R,,,,,
,Segment - REF Other Payer Claim Control Number (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,F8 : Original Reference Number,,,,
2330B.REF02,Reference Identification,R,,,,,
,Loop 2330C (Situational),,,,,,
,Segment - NM1 Other Payer Attending Provider (Situational),,,,,,
2330C.NM101,Entity Identifier Code,R,,,,,
2330C.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Attending Provider Secondary Identification (Required),,,,,,
2330C.REF01,Reference Identification Qualifier,R,,,,,
2330C.REF02,Reference Identification,R,,,,,
,Loop 2330D (Situational),,,,,,
,Segment - NM1 Other Payer Operating Physician (Situational),,,,,,
2330D.NM101,Entity Identifier Code,R,,,,,
2330D.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Operating Physician Secondary Identification (Required),,,,,,
2330D.REF01,Reference Identification Qualifier,R,,,,,
2330D.REF02,Reference Identification,R,,,,,
,Loop 2330E (Situational),,,,,,
,Segment - NM1 Other Payer Other Operating Physician (Situational),,,,,,
2330E.NM101,Entity Identifier Code,R,,,,,
2330E.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Other Operating Physician Secondary Identification (Required),,,,,,
2330E.REF01,Reference Identification Qualifier,R,,,,,
2330E.REF02,Reference Identification,R,,,,,
,Loop 2330F (Situational),,,,,,
,Segment - NM1 Other Payer Service Facility Location (Situational),,,,,,
2330F.NM101,Entity Identifier Code,R,,,,,
2330F.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Service Facility Location Identification (Required),,,,,,
2330F.REF01,Reference Identification Qualifier,R,,,,,
2330F.REF02,Reference Identification,R,,,,,
,Loop 2330G (Situational),,,,,,
,Segment - NM1 Other Payer Rendering Provider Name (Situational),,,,,,
2330G.NM101,Entity Identifier Code,R,,,,,
2330G.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Rendering Provider Secondary Identification (Required),,,,,,
2330G.REF01,Reference Identification Qualifier,R,,,,,
2330G.REF02,Reference Identification,R,,,,,
,Loop - 2330H (Situational),,,,,,
,Segment - NM1 Other Payer Referring Provider (Situational),,,,,,
2330H.NM101,Entity Identifier Code,R,,,,,
2330H.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Referring Provider Secondary Identification (Required),,,,,,
2330H.REF01,Reference Identification Qualifier,R,,,,,
2330H.REF02,Reference Identification,R,,,,,
,Loop - 2330I (Situational),,,,,,
,Segment - NM1 Other Payer Billing Provider (Situational),,,,,,
2330I.NM101,Entity Identifier Code,R,,,,,
2330I.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Billing Provider Secondary Identification (Required),,,,,,
2330I.REF01,Reference Identification Qualifier,R,,,,,
2330I.REF02,Reference Identification,R,,,,,
Loop 2320 (Situational) - Additional Instance,,,,,,,
,Segment - SBR Other Subscriber Information (Situational),"Create additional instance of 2320 & its equivalent loops for each instance of OtherInsuranceClaimInfo only when the below condition matches

/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/companyName != """"",,,,,
2320.SBR01,Payer Responsibility Sequence Number Code,R,"A Payer Responsibility Four
B Payer Responsibility Five
C Payer Responsibility Six
D Payer Responsibility Seven
E Payer Responsibility Eight
F Payer Responsibility Nine
G Payer Responsibility Ten
H Payer Responsibility Eleven
P Primary
S Secondary
T Tertiary
U Unknown",,"Logic to populate this instance of 2320 SBR01 -
First instance of otherInsuranceInfoClaimInfo
 Populate ""P""
Second instance of otherInsuranceInfoClaimInfo
 Populate ""S""
Third instance of otherInsuranceInfoClaimInfo
 Populate ""T""",,
2320.SBR02,Individual Relationship Code,R,"01 Spouse
18 Self
19 Child
20 Employee
21 Unknown
39 Organ Donor
40 Cadaver Donor
53 Life Partner
G8 Other Relationship",18,,,
2320.SBR03,Reference Identification,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/groupNumber,,
2320.SBR04,Name,S,,,,,
2320.SBR09,Claim Filing Indicator Code,S,"11 Other Non-Federal Programs
12 Preferred Provider Organization (PPO)
13 Point of Service (POS)
14 Exclusive Provider Organization (EPO)
15 Indemnity Insurance
16 Health Maintenance Organization (HMO) Medicare
Risk
17 Dental Maintenance Organization
AM Automobile Medical
BL Blue Cross/Blue Shield
CH Champus
CI Commercial Insurance Co.
DS Disability
FI Federal Employees Program
HM Health Maintenance Organization
LM Liability Medical
MA Medicare Part A
MB Medicare Part B
MC Medicaid
OF Other Federal Program
claims.
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined
71 Use Code ZZ when Type of Insurance is not",,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/claimFilingIndicator,,
,Segment - CAS Claim Level Adjustments (Situational),,,,,,
2320.CAS01,Claim Adjustment Group Code,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentGroupCode,Group CAS segment based on eobAdjustmentGroupCode,Not getting these tags in Soap XML.
2320.CAS02,Claim Adjustment Reason Code,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS03,Monetary Amount,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS04,Quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS05,Claim Adjustment Reason Code,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS06,Monetary Amount,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS07,Quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS08,Claim Adjustment Reason Code,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS09,Monetary Amount,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS10,Quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS11,Claim Adjustment Reason Code,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS12,Monetary Amount,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS13,Quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS14,Claim Adjustment Reason Code,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS15,Monetary Amount,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS16,Quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
2320.CAS17,Claim Adjustment Reason Code,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentReasonCode,,
2320.CAS18,Monetary Amount,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentAmount,,
2320.CAS19,Quantity,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/headerEOBAdjustments/eobAdjustments/eobAdjustmentQuantity,,
,Segment - AMT Coordination of Benefits (COB) Payer Paid Amount (Situational),,,,,,
2320.AMT01,Amount Qualifier Code,R,D Payor Amount Paid,D,,,
2320.AMT02,Monetary Amount,R,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/otherInsuranceClaimInfoList/otherInsuranceClaimInfo/priorPayments/money/,"If money != """"
 Map AMT02 with ""money""
 Map AMT01 with ""D""",
,Segment - AMT Remaining Patient Liability (Situational),,,,,,
2320.AMT01,Amount Qualifier Code,R,EAF Amount Owed,,,,
2320.AMT02,Monetary Amount,R,,,,,
,Segment - AMT Coordination of Benefits (COB) Total Non-covered Amount (Situational),,,,,,
2320.AMT01,Amount Qualifier Code,R,A8 Noncovered Charges - Actual,,,,
2320.AMT02,Monetary Amount,R,,,,,
,Segment - OI Other Insurance Coverage Information (Required),,,,,,
2320.OI03,Yes/No Condition or Response Code,R,"N No
W Not Applicable
Y Yes","Hardcode to ""Y""",,,
2320.OI06,Release of Information Code,R,"I Informed Consent to Release Medical Information
for Conditions or Diagnoses Regulated by Federal
Statutes
Y Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim","Hardcode to ""Y""",,,
,Segment - MIA Inpatient Adjudication Information (Situational),,,,,,
2320.MIA01,Quantity,R,,,,,
2320.MIA03,Quantity,S,,,,,
2320.MIA04,Monetary Amount,S,,,,,
2320.MIA05,Reference Identification,S,,,,,
2320.MIA06,Monetary Amount,S,,,,,
2320.MIA07,Monetary Amount,S,,,,,
2320.MIA08,Monetary Amount,S,,,,,
2320.MIA09,Monetary Amount,S,,,,,
2320.MIA10,Monetary Amount,S,,,,,
2320.MIA11,Monetary Amount,S,,,,,
2320.MIA12,Monetary Amount,S,,,,,
2320.MIA13,Monetary Amount,S,,,,,
2320.MIA14,Monetary Amount,S,,,,,
2320.MIA15,Quantity,S,,,,,
2320.MIA16,Monetary Amount,S,,,,,
2320.MIA17,Monetary Amount,S,,,,,
2320.MIA18,Monetary Amount,S,,,,,
2320.MIA19,Monetary Amount,S,,,,,
2320.MIA20,Reference Identification,S,,,,,
2320.MIA21,Reference Identification,S,,,,,
2320.MIA22,Reference Identification,S,,,,,
2320.MIA23,Reference Identification,S,,,,,
2320.MIA24,Monetary Amount,S,,,,,
,Segment - MOA Outpatient Adjudication Information (Situational),,,,,,
2320.MOA01,Percentage as Decimal,S,,,,,
2320.MOA02,Monetary Amount,S,,,,,
2320.MOA03,Reference Identification,S,,,,,
2320.MOA04,Reference Identification,S,,,,,
2320.MOA05,Reference Identification,S,,,,,
2320.MOA06,Reference Identification,S,,,,,
2320.MOA07,Reference Identification,S,,,,,
2320.MOA08,Monetary Amount,S,,,,,
2320.MOA09,Monetary Amount,S,,,,,
,Loop 2330A(Situational),,,,,,
,Segment - NM1 Other Subscriber Name (Required),,,,,,
2330A.NM101,Entity Identifier Code,R,IL : Insured or Subscriber,IL,,,
2330A.NM102,Entity Type Qualifier,R,"1 : Person
2 : Non-Person Entity",1,,,
2330A.NM103,Name Last or Organization Name,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/otherSubscriberLastName,,Copy from 2010BA if not present in otherInsuranceInfoClaimInfo
2330A.NM104,Name First,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/otherSubscriberFirstName,,Copy from 2010BA if not present in otherInsuranceInfoClaimInfo
2330A.NM105,Name Middle,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/otherSubscriberMiddleName,,Copy from 2010BA if not present in otherInsuranceInfoClaimInfo
2330A.NM107,Name Suffix,S,,,,,
2330A.NM108,Identification Code Qualifier,R,"II Standard Unique Health Identifier for each Individual
MI Member Identification Number",MI,,,
2330A.NM109,Identification Code,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/otherInsuranceSubscriberId,,Copy from 2010BA if not present in otherInsuranceInfoClaimInfo
,Segment - N3 Other Subscriber Address (Situational),,,,,,
2330A.N301,Address Information,R,,,,,
2330A.N302,Address Information,S,,,,,
,Segment - N4 Other Subscriber City/State/ZIP Code (Situational),,,,,,
2330A.N401,City Name,R,,,,,
2330A.N402,State or Province Code,S,,,,,
2330A.N403,Postal Code,S,,,,,
2330A.N404,Country Code,S,,,,,
2330A.N407,Country Subdivision Code,S,,,,,
,Segment - REF Other Subscriber Secondary Information (Situational),,,,,,
2330A.REF01,Reference Identification Qualifier,R,,,,,
2330A.REF02,Reference Identification,R,,,,,
,Loop 2330B(Situational),,,,,,
,Segment - NM1 Other Payer Name (Required),,,,,,
2330B.NM101,Entity Identifier Code,R,PR Payer,PR,,,
2330B.NM102,Entity Type Qualifier,R,2 Non-Person Entity,2,,,
2330B.NM103,Name Last or Organization Name,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/companyName,,
2330B.NM108,Identification Code Qualifier,R,,XV,,,
2330B.NM109,Identification Code,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/providerNumber,"if providerNumber != """"
  Map providerNumber
Else
  Map ""Payer"" + <Seq>

Seq should start from 01 and increment by 1. Ex., Payer01, Payer02, Payer03 etc., for each 2320 loop",
,Segment - N3 Other Payer Address (Situational),,,,,,
2330B.N301,Address Information,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/otherInsuranceCompanyAddress/address,,"Map Address elements only if all the required elements are present - N301, N401, N402, N403"
2330B.N302,Address Information,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/otherInsuranceCompanyAddress/address2,,"Map Address elements only if all the required elements are present - N301, N401, N402, N403"
,Segment - N4 Other Payer City/State/ZIP Code (Situational),,,,,,
2330B.N401,City Name,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/otherInsuranceCompanyAddress/city,,"Map Address elements only if all the required elements are present - N301, N401, N402, N403"
2330B.N402,State or Province Code,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/otherInsuranceCompanyAddress/stateCode,,"Map Address elements only if all the required elements are present - N301, N401, N402, N403"
2330B.N403,Postal Code,S,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/otherInsuranceCompanyAddress/zipCode,,"If zipCode length is < 9
 concatenate zeros to make it to 9 digits. Ex., 402200000

Map Address elements only if all the required elements are present - N301, N401, N402, N403"
2330B.N404,Country Code,S,,US,,,
2330B.N407,Country Subdivision Code,S,,,,,
,Segment - DTP Claim Check or Remittance Date (Situational),,,,,,
2330B.DTP01,Date/Time Qualifier,R,573 Date Claim Paid,"Hardcode ""573""",,,
2330B.DTP02,Date Time Period Format Qualifier,R,D8 Date Expressed in Format CCYYMMDD,"Hardcode ""D8""",,,
2330B.DTP03,Date Time Period,R,,,/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/eobDate,"if eobDate != """"
 Map eobDate",
,Segment - REF Other Payer Secondary Identifier (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,,,,,
2330B.REF02,Reference Identification,R,,,,,
,Segment - REF Other Payer Prior Authorization Number (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,G1 Prior Authorization Number,,,,
2330B.REF02,Reference Identification,R,,,,,
,Segment - REF Other Payer Referral Number (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,9F : Referral Number,,,,
2330B.REF02,Reference Identification,R,,,,,
,Segment - REF Other Payer Claim Adjustment Indicator (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,T4 : Signal Code,,,,
2330B.REF02,Reference Identification,R,,,,,
,Segment - REF Other Payer Claim Control Number (Situational),,,,,,
2330B.REF01,Reference Identification Qualifier,R,F8 : Original Reference Number,,,,
2330B.REF02,Reference Identification,R,,,,,
,Loop 2330C (Situational),,,,,,
,Segment - NM1 Other Payer Attending Provider (Situational),,,,,,
2330C.NM101,Entity Identifier Code,R,,,,,
2330C.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Attending Provider Secondary Identification (Required),,,,,,
2330C.REF01,Reference Identification Qualifier,R,,,,,
2330C.REF02,Reference Identification,R,,,,,
,Loop 2330D (Situational),,,,,,
,Segment - NM1 Other Payer Operating Physician (Situational),,,,,,
2330D.NM101,Entity Identifier Code,R,,,,,
2330D.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Operating Physician Secondary Identification (Required),,,,,,
2330D.REF01,Reference Identification Qualifier,R,,,,,
2330D.REF02,Reference Identification,R,,,,,
,Loop 2330E (Situational),,,,,,
,Segment - NM1 Other Payer Other Operating Physician (Situational),,,,,,
2330E.NM101,Entity Identifier Code,R,,,,,
2330E.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Other Operating Physician Secondary Identification (Required),,,,,,
2330E.REF01,Reference Identification Qualifier,R,,,,,
2330E.REF02,Reference Identification,R,,,,,
,Loop 2330F (Situational),,,,,,
,Segment - NM1 Other Payer Service Facility Location (Situational),,,,,,
2330F.NM101,Entity Identifier Code,R,,,,,
2330F.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Service Facility Location Identification (Required),,,,,,
2330F.REF01,Reference Identification Qualifier,R,,,,,
2330F.REF02,Reference Identification,R,,,,,
,Loop 2330G (Situational),,,,,,
,Segment - NM1 Other Payer Rendering Provider Name (Situational),,,,,,
2330G.NM101,Entity Identifier Code,R,,,,,
2330G.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Rendering Provider Secondary Identification (Required),,,,,,
2330G.REF01,Reference Identification Qualifier,R,,,,,
2330G.REF02,Reference Identification,R,,,,,
,Loop - 2330H (Situational),,,,,,
,Segment - NM1 Other Payer Referring Provider (Situational),,,,,,
2330H.NM101,Entity Identifier Code,R,,,,,
2330H.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Referring Provider Secondary Identification (Required),,,,,,
2330H.REF01,Reference Identification Qualifier,R,,,,,
2330H.REF02,Reference Identification,R,,,,,
,Loop - 2330I (Situational),,,,,,
,Segment - NM1 Other Payer Billing Provider (Situational),,,,,,
2330I.NM101,Entity Identifier Code,R,,,,,
2330I.NM102,Entity Type Qualifier,R,,,,,
,Segment - REF Other Payer Billing Provider Secondary Identification (Required),,,,,,
2330I.REF01,Reference Identification Qualifier,R,,,,,
2330I.REF02,Reference Identification,R,,,,,
,Loop 2400 (Required),,,,,,
,Segment - LX Service Line Number (Required),,,,,,
2400.LX01,Assigned Number,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/claimLineId,,
,Segment - SV2 Institutional Service Line (Required),,,,,,
2400.SV201,Product/Service ID,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/revenueCode,,
2400.SV202.01,Product/Service ID Qualifier,R,"HC :(HCPCS) Codes
HP: Health Insurance Prospective Payment System
(HIPPS)",,"Hardcode 'HP'  If /eobClaimDetail/claim/claimLine/claimLine/claimLineCustomTags/key  is  SERVICE_TYPE_NAME  AND
/eobClaimDetail/claim/claimLine/claimLine/claimLineCustomTags/value is HIPPS Code

Else
Hardcode 'HC'",,
2400.SV202.02,Product/Service ID,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/serviceCode,,
2400.SV202.03,Procedure Modifier,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2400.SV202.04,Procedure Modifier,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2400.SV202.05,Procedure Modifier,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2400.SV202.06,Procedure Modifier,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2400.SV202.07,Description,S,,,,,
2400.SV203,Monetary Amount,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/requestedAmount,,
2400.SV204,Unit or Basis for Measurement Code,R,,,"If 2400.SV201 != """" and 2400.SV201 Starts with one of the code below, then Map ""DA"" Else Map ""UN""

010,011,012,013,014,015,016,017,018,019,020,021",,
2400.SV205,Quantity,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/units,,
2400.SV207,Monetary Amount,S,,,,,
,Segment - PWK Line Supplemental Information (Situational),,,,,,
2400.PWK01,Report Type Code,R,,,,,
2400.PWK02,Report Transmission Code,R,,,,,
2400.PWK05,Identification Code Qualifier,S,,,,,
2400.PWK06,Identification Code,S,,,,,
,Segment - DTP Date - Service Date (Situational),,,,,,
2400.DTP01,Date/Time Qualifier,R,472 Service,472,,,
2400.DTP02,Date Time Period Format Qualifier,R,"D8 :Date Expressed in Format CCYYMMDD
RD8 :Range of Dates Expressed in Format CCYYMMDDCCYYMMDD",D8 / RD8,,"RD8 is ServiceStartDate is not the same as ServiceEndDate. D8 if they are the same, just export the ServiceStartDate",
2400.DTP03,Date Time Period,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/serviceStartDate ""-"" getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/serviceEndDate",,
,Segment - REF Line Item Control Number (Situational),,,,,,
2400.REF01,Reference Identification Qualifier,R,,"Hardcode ""6R""",,,
2400.REF02,Reference Identification,R,,,"Populate HCCClaimID + <Sequence>
Sequence - Increment this number for each line and should like 001, 002, 003, 004, etc",,"Exmaple - 20201221101437001, 20201221101437002"
,Segment - REF Repriced Line Item Reference Number (Situational),,,,,,
2400.REF01,Reference Identification Qualifier,R,,,,,
2400.REF02,Reference Identification,R,,,,,
,Segment - REF Adjusted Repriced Line Item Reference Number (Situational),,,,,,
2400.REF01,Reference Identification Qualifier,R,,,,,
2400.REF02,Reference Identification,R,,,,,
,Segment - AMT Service Tax Amount (Situational),,,,,,
2400.AMT01,Amount Qualifier Code,R,,,,,
2400.AMT02,Monetary Amount,R,,,,,
,Segment - AMT Facility Tax Amount (Situational),,,,,,
2400.AMT01,Amount Qualifier Code,R,,,,,
2400.AMT02,Monetary Amount,R,,,,,
,Segment - NTE Third Party Organization Notes (Situational),,,,,,
2400.NTE01,Note Reference Code,R,TPO Third Party Organization Notes,,,,
2400.NTE02,Description,R,,,,,
,Segment - HCP Line Pricing/Repricing Information (Situational),,,,,,
2400.HCP01,Pricing Methodology,R,,,,,
2400.HCP02,Monetary Amount,R,,,,,
2400.HCP03,Monetary Amount,S,,,,,
2400.HCP04,Reference Identification,S,,,,,
2400.HCP05,Rate,S,,,,,
2400.HCP06,Reference Identification,S,,,,,
2400.HCP07,Monetary Amount,S,,,,,
2400.HCP08,Product/Service ID,S,,,,,
2400.HCP09,Product/Service ID Qualifier,S,,,,,
2400.HCP10,Product/Service ID,S,,,,,
2400.HCP11,Unit or Basis for Measurement Code,S,"DA Days
UN Unit",,,,
2400.HCP12,Quantity,S,,,,,
2400.HCP13,Reject Reason Code,S,"T1 Cannot Identify Provider as TPO (Third Party
Organization) Participant
T2 Cannot Identify Payer as TPO (Third Party
Organization) Participant
T3 Cannot Identify Insured as TPO (Third Party
Organization) Participant
T4 Payer Name or Identifier Missing
T5 Certification Information Missing
T6 Claim does not contain enough information for repricing",,,,
